elevatorId,dayOfTheWeek,time,startingPoint
E1,1,13:49,0
E1,1,06:13,8
E1,1,20:39,3
E1,1,13:49,13
E1,1,16:21,5
E1,1,20:32,0
E1,1,13:41,11
E1,1,20:28,10
E1,1,08:33,12
E1,1,19:03,15
E1,1,19:38,11
E1,1,16:59,13
E1,1,15:03,15
E1,1,18:05,14
E1,1,19:38,1
E1,1,07:25,9
E1,1,06:36,5
E1,1,13:02,8
E1,1,19:52,14
E1,1,17:35,0
E1,1,16:07,1
E1,1,11:56,2
E1,1,13:01,15
E1,1,16:33,15
E1,1,10:05,14
E1,1,07:33,3
E1,1,07:49,3
E1,1,09:45,10
E1,1,21:35,14
E1,1,09:22,14
E1,1,11:54,4
E1,1,19:46,2
E1,1,15:59,9
E1,1,15:32,15
E1,1,11:39,10
E1,1,13:13,12
E1,1,09:02,5
E1,1,06:59,5
E1,1,17:47,11
E1,1,07:48,2
E1,1,17:35,6
E1,1,08:02,4
E1,1,06:51,3
E1,1,18:10,12
E1,1,18:13,3
E1,1,17:01,1
E1,1,11:47,2
E1,1,11:10,11
E1,1,13:34,8
E1,1,13:20,2
E2,1,06:23,3
E2,1,09:44,5
E2,1,07:03,9
E2,1,12:21,6
E2,1,17:02,1
E2,1,17:38,14
E2,1,15:52,0
E2,1,07:11,10
E2,1,09:41,7
E2,1,09:22,4
E2,1,17:09,8
E2,1,17:01,3
E2,1,08:33,3
E2,1,07:09,15
E2,1,13:16,10
E2,1,15:04,3
E2,1,10:09,8
E2,1,16:01,14
E2,1,11:15,11
E2,1,11:51,8
E2,1,15:10,7
E2,1,08:46,11
E2,1,21:31,1
E2,1,21:30,2
E2,1,12:41,15
E2,1,08:09,2
E2,1,14:33,10
E2,1,21:06,9
E2,1,07:57,15
E2,1,14:05,9
E2,1,12:36,2
E2,1,21:09,2
E2,1,14:10,7
E2,1,21:22,14
E2,1,08:16,13
E2,1,14:57,2
E2,1,21:51,12
E2,1,13:47,13
E2,1,17:13,9
E2,1,12:22,11
E2,1,15:23,9
E2,1,08:02,7
E2,1,06:15,3
E2,1,19:57,5
E2,1,15:56,5
E2,1,06:11,13
E2,1,08:29,10
E2,1,16:18,13
E2,1,07:12,11
E2,1,09:21,10
E1,2,18:49,7
E1,2,21:43,1
E1,2,11:35,2
E1,2,20:15,9
E1,2,15:34,5
E1,2,11:18,8
E1,2,14:08,7
E1,2,10:01,12
E1,2,06:34,12
E1,2,08:38,0
E1,2,10:56,13
E1,2,17:19,11
E1,2,15:04,5
E1,2,07:51,7
E1,2,06:49,15
E1,2,16:05,5
E1,2,07:04,4
E1,2,16:28,8
E1,2,14:17,8
E1,2,15:50,10
E1,2,16:04,5
E1,2,18:26,5
E1,2,06:33,3
E1,2,09:53,4
E1,2,09:37,2
E1,2,18:07,10
E1,2,19:53,14
E1,2,11:41,13
E1,2,17:30,14
E1,2,15:09,0
E1,2,21:26,10
E1,2,15:49,4
E1,2,12:21,3
E1,2,16:33,14
E1,2,11:55,14
E1,2,20:09,15
E1,2,14:05,1
E1,2,09:57,5
E1,2,09:34,14
E1,2,11:42,6
E1,2,12:30,0
E1,2,17:18,3
E1,2,16:31,8
E1,2,21:05,8
E1,2,21:16,3
E1,2,19:08,10
E1,2,20:00,2
E1,2,21:03,15
E1,2,17:21,4
E1,2,14:27,2
E2,2,11:08,12
E2,2,20:15,8
E2,2,18:11,0
E2,2,18:59,15
E2,2,17:33,1
E2,2,12:08,6
E2,2,07:23,13
E2,2,21:21,7
E2,2,19:46,13
E2,2,19:38,8
E2,2,11:24,1
E2,2,21:34,14
E2,2,08:12,3
E2,2,20:55,3
E2,2,08:19,6
E2,2,11:40,6
E2,2,08:57,5
E2,2,20:16,0
E2,2,14:12,1
E2,2,16:54,2
E2,2,16:17,12
E2,2,17:43,6
E2,2,21:14,3
E2,2,20:16,9
E2,2,14:03,1
E2,2,09:20,2
E2,2,18:49,15
E2,2,09:29,3
E2,2,06:09,14
E2,2,17:29,6
E2,2,07:35,1
E2,2,14:41,10
E2,2,06:06,10
E2,2,12:45,13
E2,2,14:19,10
E2,2,08:41,7
E2,2,13:08,2
E2,2,15:51,7
E2,2,10:45,0
E2,2,19:20,6
E2,2,14:32,9
E2,2,07:39,5
E2,2,12:50,14
E2,2,09:43,8
E2,2,21:41,7
E2,2,17:50,12
E2,2,12:48,8
E2,2,08:30,12
E2,2,18:43,11
E2,2,07:00,7
E1,3,21:48,10
E1,3,11:00,8
E1,3,13:08,10
E1,3,14:31,12
E1,3,20:42,15
E1,3,09:53,1
E1,3,11:44,9
E1,3,06:38,12
E1,3,13:11,3
E1,3,15:36,13
E1,3,15:39,0
E1,3,16:05,2
E1,3,17:48,9
E1,3,21:13,7
E1,3,12:59,9
E1,3,07:33,3
E1,3,13:50,14
E1,3,14:56,11
E1,3,18:35,0
E1,3,12:34,11
E1,3,14:03,4
E1,3,12:47,5
E1,3,21:57,4
E1,3,11:09,9
E1,3,10:04,2
E1,3,11:39,8
E1,3,21:44,13
E1,3,18:58,8
E1,3,21:13,11
E1,3,21:22,6
E1,3,17:14,3
E1,3,18:17,14
E1,3,09:42,5
E1,3,16:49,11
E1,3,15:47,1
E1,3,07:17,8
E1,3,12:50,7
E1,3,06:45,8
E1,3,18:44,10
E1,3,19:12,1
E1,3,06:02,1
E1,3,08:15,7
E1,3,15:07,0
E1,3,12:41,9
E1,3,12:10,8
E1,3,12:28,10
E1,3,19:03,9
E1,3,07:31,8
E1,3,19:18,12
E1,3,20:20,9
E2,3,06:17,15
E2,3,11:45,5
E2,3,20:46,14
E2,3,13:57,12
E2,3,18:32,9
E2,3,14:47,12
E2,3,21:33,2
E2,3,21:00,8
E2,3,20:51,15
E2,3,06:18,12
E2,3,11:26,2
E2,3,17:24,9
E2,3,14:18,4
E2,3,06:00,14
E2,3,06:48,3
E2,3,15:20,10
E2,3,10:10,5
E2,3,15:44,5
E2,3,07:07,0
E2,3,11:43,1
E2,3,12:44,1
E2,3,08:26,8
E2,3,06:34,12
E2,3,09:22,14
E2,3,16:25,1
E2,3,16:06,7
E2,3,15:46,6
E2,3,19:57,9
E2,3,12:05,0
E2,3,11:38,1
E2,3,21:08,9
E2,3,08:22,13
E2,3,16:24,1
E2,3,20:12,2
E2,3,21:00,14
E2,3,21:59,10
E2,3,11:32,7
E2,3,11:09,0
E2,3,07:18,9
E2,3,06:38,0
E2,3,07:57,15
E2,3,07:42,7
E2,3,18:01,2
E2,3,13:36,12
E2,3,15:30,7
E2,3,11:33,7
E2,3,07:53,9
E2,3,09:53,6
E2,3,17:42,14
E2,3,20:36,2
E1,4,13:17,13
E1,4,14:41,14
E1,4,11:14,5
E1,4,09:16,4
E1,4,19:46,0
E1,4,14:17,5
E1,4,15:28,5
E1,4,09:01,15
E1,4,20:10,14
E1,4,11:20,14
E1,4,18:52,14
E1,4,14:11,11
E1,4,21:33,12
E1,4,10:34,7
E1,4,06:18,9
E1,4,06:05,2
E1,4,17:54,8
E1,4,08:09,6
E1,4,10:16,8
E1,4,13:02,5
E1,4,11:16,11
E1,4,13:16,9
E1,4,20:37,12
E1,4,13:20,15
E1,4,21:31,14
E1,4,12:57,7
E1,4,07:46,0
E1,4,16:22,13
E1,4,14:53,9
E1,4,10:27,10
E1,4,08:44,10
E1,4,14:25,15
E1,4,18:05,5
E1,4,20:29,1
E1,4,15:19,7
E1,4,20:46,6
E1,4,15:31,2
E1,4,06:12,11
E1,4,18:16,9
E1,4,09:32,8
E1,4,10:07,10
E1,4,17:01,1
E1,4,06:02,13
E1,4,15:49,11
E1,4,12:55,11
E1,4,19:34,1
E1,4,08:25,0
E1,4,09:15,1
E1,4,16:54,12
E1,4,20:33,11
E2,4,15:03,6
E2,4,11:27,2
